             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
         3200455_0      CPUQ arrayJob    erihe CG       1:04      1 compute-5-0-25
         3200457_0      CPUQ arrayJob    erihe CG       1:03      1 idun-05-31
         3200460_0      CPUQ arrayJob    erihe CG       1:04      1 idun-05-31
         3200461_0      CPUQ arrayJob    erihe CG       1:04      1 idun-05-31
         3200469_0      CPUQ arrayJob    erihe CG       1:04      1 idun-05-30
       3200669_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200670_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200671_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200672_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200673_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200577_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Resources)
       3200578_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200579_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200580_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200581_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200582_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200583_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200584_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200585_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200586_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200587_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200588_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200589_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200590_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200591_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200592_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200593_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200594_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200595_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200596_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200597_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200598_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200599_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200600_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200601_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200602_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200603_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200604_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200605_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200606_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200607_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200608_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200609_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200610_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200611_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200612_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200613_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200614_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200615_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200616_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200617_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200618_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200619_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200620_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200621_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200622_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200623_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200624_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200625_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200626_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200627_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200628_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200629_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200630_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200631_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200632_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200633_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200634_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200635_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200636_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200637_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200638_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200639_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200640_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200641_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200642_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200643_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200644_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200645_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200646_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200647_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200648_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200649_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200650_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200651_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200652_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200653_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200654_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200655_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200656_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200657_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200658_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200659_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200660_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200661_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200662_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200663_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200664_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200665_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200666_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200667_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200668_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200674_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200675_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200676_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200677_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200678_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200679_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
       3200680_[0]      CPUQ arrayJob    erihe PD       0:00      1 (Priority)
